date,id,email,address,score1,score2,score3,score4,score5,zipcode,supervisor,password,phone_num,value,code,colors
2017-01-17,1033.0,rstemsonw@businesswire.com,36 Lindbergh Place,4.0,6.0,5.0,3.0,5.0,19047.0,Raddie Stemson,bXAq45,(385)225-9086,2.0,GHJ,"blue,green"
2017-08-28,1034.0,dbollinix@narod.ru,02778 Rockefeller Road,1.0,6.0,2.0,9.0,4.0,18055.0,Diana Bollini,uXCM89lHF472,(850)556-6279,3.5,    HUG,"green,blue"
2017-02-07,1035.0,rashally@businesswire.com,7780 1st Street,9.0,9.0,5.0,3.0,9.0,15146.0,Renaud Ashall,ZKY2V5h,(272)762-4816,4.0,WUS,purple
2016-10-07,1036.0,mlez@yahoo.com,14398 Mcguire Plaza,9.0,3.0,7.0,5.0,6.0,7840.0,Myra Le Moucheux,2zx1c1Z,(612)262-3544,9.0,GID,"purple,red,green"
2017-03-03,1037.0,lburnyeat10@shinystat.com,1 Bowman Alley,2.0,2.0,3.0,9.0,3.0,19047.0,Laurie Burnyeat,UR4yBTlwmem,(417)247-    1356,-4.0,PLO,"red,blue,green"
2017-03-08,1038.0,mpretti11@java.com,37202 Sheridan Terrace,5.0,3.0,5.0,2.0,4.0,50401.0,Maybelle Pretti,LGDIUEYxcqNR,(386)224-9336,4.0,APY,"green,blue"
2017-07-08,1039.0,mhenrichs12@ustream.tv,0046 Mifflin Lane,4.0,8.0,2.0,9.0,2.0,30322.0,Maitilde H. Henrichs,esIrNjUYybX,(346)728-3714,9.6,FIK,"red,yellow"
2017-04-02,1040.0,adecent13@nationalgeographic.com,3 Toban Crossing,5.0,7.0,8.0,8.0,8.0,8901.0,Andreas Decent,0D1TrY,(580)473-7584,6.3,             YYY,yellow
2017-03-10,1041.0,gharrod14@netlog.com,0783 Main Avenue,7.0,8.0,6.0,3.0,1.0,30240.0,Gannon Harrod,AwpuPdDtqg,(228)282-1235,7.0,     YEJ,"red,yellow,orange"
2017-07-11,1042.0,gjansie15@icio.us,95 Corry Trail,5.0,8.0,8.0,9.0,2.0,60004.0,Glyn Jansie,Oi831E0Cn,(317)    693-1880,7.1,GHJ,"blue,green"
2017-09-03,1043.0,esomerbell16@purevolume.com,3217 Transport Center,9.0,4.0,6.0,8.0,2.0,45420.0,Elna Somerbell,YLNPyod,430-988-3794,3.0,    HUG,"green,blue"
2016-10-11,1044.0,istannion17@businesswire.com,44 Autumn Leaf Avenue,8.0,5.0,2.0,4.0,1.0,19047.0,Iona Stannion,3H1dMNUi1,(734)76379    -66,5.6,WUS,purple
2017-06-01,1045.0,gstukings18@businesswire.com,04088 Veith Plaza,6.0,5.0,5.0,5.0,9.0,18055.0,Goldie Stukings,amy8rEJ9O1,(386)397-1561,7.1,GID,"purple,red,green"
2017-06-21,1046.0,mstooke19@diigo.com,6 Bowman Park,6.0,6.0,9.0,3.0,7.0,15146.0,Maurits Stooke,yCNOy2,(660)745-7005,-6.4,     YEJ,"red,blue,green"
2016-12-09,1047.0,dtenny1a@aboutads.info,62303 Ridgeway Hill,1.0,2.0,3.0,6.0,7.0,7840.0,Dion Tenny,c4uXxdH,(660)462-2730,3.2,GHJ,"green,blue"
2016-12-21,1048.0,sjeafferson1b@liveinternet.ru,658 Holmberg Alley,6.0,5.0,4.0,7.0,5.0,19047.0,Skylar Jeafferson,KL1av4U,(312)485-4028,6.1,    HUG,"red,yellow"
2016-10-22,1049.0,keate1c@springer.com,83003 North Place,8.0,4.0,3.0,9.0,5.0,50401.0,Kelbee Eate,KtoGQW94,(458)201-8223,1.0,WUS,yellow
2017-06-20,1050.0,gbarrowcliffe1d@twitpic.com,14 Kings Avenue,8.0,1.0,4.0,2.0,6.0,30322.0,Gordie B. Barrowcliffe,cE12rzidmo,3347927677,2.2,GID,"red,yellow,orange"
